Id;Country;y;x;Range_mittel;
1;Austria;48.07400;16.53600;230.00000;
2;Austria;48.06500;13.06200;230.00000;
3;Austria;47.20900;11.46100;230.00000;
4;Austria;47.07200;14.56000;230.00000;
5;Austria;47.15750;10.21310;230.00000;
6;Belgium;50.90100;4.45100;300.00000;
7;Belgium;49.91500;5.50500;300.00000;
8;Bulgaria;42.27100;24.32600;240.00000;
9;Bulgaria;42.27100;24.32600;240.00000;
10;Croatia;45.88340;17.20080;240.00000;
11;Croatia;45.50270;18.56130;240.00000;
12;Czech Republic;49.50110;16.78850;200.00000;
13;Czech Republic;49.65830;13.81780;200.00000;
14;Denmark;55.32620;12.44930;300.00000;
15;Denmark;55.17310;8.55200;300.00000;
16;Denmark;57.48930;10.13650;240.00000;
17;Denmark;55.11280;14.88750;240.00000;
18;Denmark;56.02400;10.02460;230.00000;
19;Estonia;59.39767;24.60210;240.00000;
20;Estonia;58.48231;25.51833;230.00000;
21;Finland;60.27062;24.86902;400.00000;
22;Finland;61.76735;23.07645;400.00000;
23;Finland;60.90389;27.10811;400.00000;
24;Finland;62.86261;27.38149;250.00000;
25;Finland;60.12848;21.64339;250.00000;
26;Finland;64.77449;26.31888;250.00000;
27;Finland;67.13907;26.89701;250.00000;
28;Finland;63.10489;23.82104;250.00000;
29;France;48.77500;2.00800;250.00000;
30;France;50.13600;1.83500;250.00000;
31;France;44.83100;-0.69200;250.00000;
32;France;47.05900;2.36000;240.00000;
33;France;45.10400;1.37000;200.00000;
34;France;48.92700;-0.15000;250.00000;
35;France;48.71600;6.58200;240.00000;
36;France;43.80600;4.50300;240.00000;
37;France;43.57400;1.37600;240.00000;
38;France;48.46200;4.30900;240.00000;
39;France;45.28900;3.71000;240.00000;
40;France;47.33700;-1.65600;240.00000;
41;France;44.32300;4.76200;240.00000;
42;France;42.91800;2.86500;240.00000;
43;France;46.06800;4.44500;240.00000;
44;France;43.21700;6.37300;240.00000;
45;France;48.46100;-4.43000;240.00000;
46;France;42.13000;9.49600;240.00000;
47;France;43.99000;2.61000;240.00000;
48;France;50.12800;3.81200;240.00000;
49;France;46.69900;0.06600;240.00000;
50;France;47.35500;4.77600;240.00000;
51;France;43.62400;-0.60900;240.00000;
52;France;47.36900;7.01900;240.00000;
53;Germany;49.98470;8.71280;240.00000;
54;Germany;53.34000;7.02400;240.00000;
55;Germany;53.62300;9.99200;240.00000;
56;Germany;54.17200;12.05600;240.00000;
57;Germany;52.45800;9.69200;240.00000;
58;Germany;52.47400;13.38600;240.00000;
59;Germany;51.40700;6.96800;240.00000;
60;Germany;51.30700;8.80200;240.00000;
61;Germany;52.15600;11.17300;240.00000;
62;Germany;50.50000;11.13700;230.00000;
63;Germany;51.12200;13.76800;230.00000;
64;Germany;50.10600;6.50000;230.00000;
65;Germany;48.58500;9.78400;255.00000;
66;Germany;49.54100;12.40200;255.00000;
67;Germany;47.87100;8.00300;255.00000;
68;Germany;48.33600;11.61400;255.00000;
69;Greece;37.94610;23.81380;255.00000;
70;Greece;39.64460;22.46030;255.00000;
71;Greece;40.52820;22.97570;255.00000;
72;Greece;37.92610;21.28940;255.00000;
73;Greece;37.43120;23.30000;255.00000;
74;Greece;38.91660;20.75280;255.00000;
75;Greece;40.92770;24.63300;255.00000;
76;Greece;36.59930;26.44040;255.00000;
77;Hungary;47.96300;21.88900;257.95556;
78;Hungary;46.66000;17.06200;257.95556;
79;Hungary;47.42900;19.18200;257.95556;
80;Iceland;64.02600;-22.63500;257.95556;
81;Ireland;52.70000;-8.91700;253.11728;
82;Ireland;53.43000;-6.24400;253.11728;
83;Italy;45.40000;9.50000;253.11728;
84;Italy;45.03400;7.73300;253.11728;
85;Italy;44.25000;8.20000;253.11728;
86;Italy;45.68820;12.08177;253.11728;
87;Italy;46.49325;11.20911;253.11728;
88;Italy;45.72670;13.47750;253.11728;
89;Italy;44.65470;11.62360;253.11728;
90;Italy;44.79140;10.49920;253.11728;
91;Italy;43.69180;10.38683;253.11728;
92;Italy;40.42250;9.00530;253.11728;
93;Italy;45.36278;11.67361;257.95556;
94;Italy;45.69500;12.78666;257.95556;
95;Italy;41.05361;14.07416;253.11728;
96;Italy;42.05777;13.17721;253.11728;
97;Italy;40.65000;17.95000;253.11728;
98;Italy;45.34000;9.29000;253.11728;
99;Italy;41.91000;12.23000;253.11728;
100;Italy;39.33972;8.96916;253.11728;
101;Italy;46.55600;12.97400;253.11728;
102;Italy;43.95600;10.60700;253.11728;
103;Italy;42.85600;12.79100;253.11728;
104;Italy;41.93900;14.62400;253.11728;
105;Italy;39.37300;16.62400;253.11728;
106;Italy;40.57000;8.17000;253.11728;
107;Latvia;56.91430;23.98970;253.11728;
108;Netherlands;52.10200;5.17800;253.11728;
109;Netherlands;52.95300;4.79000;253.11728;
110;Norway;59.85294;5.09033;215.00000;
111;Norway;67.53044;12.09889;253.11728;
112;Norway;69.24139;16.00297;253.11728;
113;Norway;70.60519;22.44297;253.11728;
114;Norway;62.18708;5.12745;257.95556;
115;Norway;59.62721;10.56445;253.11728;
116;Norway;58.36007;7.16497;257.95556;
117;Norway;63.69053;10.20375;215.00000;
118;Poland;52.40030;20.93140;100.00000;
119;Poland;50.15170;18.72670;100.00000;
120;Poland;50.88300;16.04000;100.00000;
121;Poland;50.11420;22.00250;100.00000;
122;Poland;52.40970;16.83220;100.00000;
123;Poland;53.79030;15.83110;100.00000;
124;Poland;54.38430;18.45630;100.00000;
125;Poland;50.39420;20.07970;100.00000;
126;Portugal;39.07250;-8.39890;100.00000;
127;Portugal;37.30530;-7.95170;100.00000;
128;Romania;44.51100;26.07900;100.00000;
129;Romania;47.09000;21.94000;100.00000;
130;Romania;47.03300;21.90000;100.00000;
131;Romania;44.31100;23.86800;100.00000;
132;Romania;45.77200;21.25800;100.00000;
133;Romania;46.36000;24.22500;100.00000;
134;Romania;47.16700;27.63300;100.00000;
135;Romania;44.25000;28.26700;100.00000;
136;Serbia;45.15700;19.81600;100.00000;
137;Serbia;45.78600;19.60100;253.11728;
138;Serbia;45.18900;20.77700;253.11728;
139;Serbia;44.37400;19.92400;253.11728;
140;Serbia;44.29800;20.53400;253.11728;
141;Serbia;44.32600;21.34200;253.11728;
142;Serbia;44.13000;21.97000;253.11728;
143;Serbia;43.88700;19.84600;253.11728;
144;Serbia;43.99700;21.05300;253.11728;
145;Serbia;43.26200;19.97800;253.11728;
146;Serbia;43.62100;21.25900;253.11728;
147;Serbia;43.40500;21.95200;253.11728;
148;Serbia;42.79100;21.95200;253.11728;
149;Slovak Republic;48.25600;17.15300;253.11728;
150;Slovak Republic;48.78300;20.98700;253.11728;
151;Slovenia;46.06780;15.28490;253.11728;
152;Spain;41.99700;-4.60100;257.95556;
153;Spain;40.17700;-3.71300;257.95556;
154;Spain;39.17800;-0.25000;257.95556;
155;Spain;38.26600;-1.18900;257.95556;
156;Spain;41.40900;1.88600;257.95556;
157;Spain;43.17000;-8.52600;257.95556;
158;Spain;41.73500;-0.54500;257.95556;
159;Spain;43.46300;-6.30100;257.95556;
160;Spain;43.40400;-2.84100;257.95556;
161;Spain;39.43000;-6.28400;257.95556;
162;Spain;36.61500;-4.65800;257.95556;
163;Spain;37.68900;-6.33300;257.95556;
164;Spain;36.83400;-2.08100;257.95556;
165;Spain;39.38100;2.78600;257.95556;
166;Spain;28.01900;-15.61400;257.95556;
167;Sweden;67.70880;20.61780;257.95556;
168;Sweden;65.43090;21.86500;257.95556;
169;Sweden;63.29510;14.75910;257.95556;
170;Sweden;63.63950;18.40190;257.95556;
171;Sweden;61.57710;16.71440;257.95556;
172;Sweden;60.72300;14.87760;257.95556;
173;Sweden;59.65440;17.94630;257.95556;
174;Sweden;57.30350;18.40010;257.95556;
175;Sweden;58.10590;15.93630;257.95556;
176;Sweden;58.25560;12.82600;257.95556;
177;Sweden;56.36750;12.85170;257.95556;
178;Sweden;56.29550;15.61030;257.95556;
179;Switzerland;47.28500;8.51300;257.95556;
180;Switzerland;46.42600;6.10000;257.95556;
181;Switzerland;46.04200;8.83400;257.95556;
182;United Kingdom;52.40000;-2.60000;257.95556;
183;United Kingdom;53.75000;-2.29000;257.95556;
184;United Kingdom;51.69000;-0.53000;257.95556;
185;United Kingdom;54.50000;-6.34000;257.95556;
186;United Kingdom;50.00000;-5.22000;257.95556;
187;United Kingdom;53.34000;-0.56000;257.95556;
188;United Kingdom;51.98000;-4.44000;257.95556;
189;United Kingdom;49.18000;-2.22000;257.95556;
190;United Kingdom;57.43000;-2.04000;257.95556;
191;United Kingdom;58.21000;-6.18000;257.95556;
192;United Kingdom;50.96000;-3.45000;257.95556;
193;United Kingdom;56.02000;-4.22000;257.95556;
194;United Kingdom;56.21000;-3.31000;257.95556;
195;United Kingdom;51.29000;0.60000;257.95556;
196;United Kingdom;51.03000;-1.65000;257.95556;
197;Azerbaijan;41.08333;45.50000;230.00000;
198;Azerbaijan;40.68333;48.63333;230.00000;
199;Bangladesh;21.45000;91.96667;230.00000;
200;Bangladesh;23.78333;90.38333;230.00000;
201;Bangladesh;21.98333;90.23333;230.00000;
202;Bangladesh;24.48556;91.77500;230.00000;
203;Bangladesh;25.73333;89.26667;230.00000;
204;Belarus;52.13056;23.90278;230.00000;
205;Belarus;52.06667;31.00000;230.00000;
206;Belarus;53.86667;28.06667;300.00000;
207;Belize;17.49771;-88.18665;300.00000;
208;Brazil;-22.35833;-49.02778;300.00000;
209;Brazil;-22.17500;-51.37417;300.00000;
210;Brunei Darussalam;-5.00000;115.00000;240.00000;
211;Bulgaria;42.69500;23.40806;240.00000;
212;Bulgaria;43.27694;27.79750;256.00000;
213;Canada;49.01611;-122.48778;240.00000;
214;Canada;50.57111;-105.18278;150.00000;
215;Canada;45.79278;-80.53278;250.00000;
216;Canada;53.56056;-114.14472;360.00000;
217;Canada;46.22222;-65.69861;256.00000;
218;Canada;49.85833;-92.79722;120.00000;
219;Canada;43.37028;-81.38028;480.00000;
220;Canada;50.54917;-101.08556;500.00000;
221;Canada;45.04083;-76.11361;500.00000;
222;Canada;45.09889;-63.70333;400.00000;
223;Canada;47.32639;-53.12639;500.00000;
224;Canada;54.91333;-109.95528;250.00000;
225;Canada;43.96389;-79.57139;250.00000;
226;Canada;48.57528;-70.67306;256.00000;
227;Canada;48.55083;-77.80972;480.00000;
228;Canada;48.85361;-89.12139;400.00000;
229;Canada;48.93028;-57.84361;400.00000;
230;Canada;45.94833;-60.20611;400.00000;
231;Canada;45.42500;-73.93611;256.00000;
232;Canada;47.24778;-84.59583;175.00000;
233;Canada;48.86028;-123.75583;200.00000;
234;Canada;50.37028;-119.06500;200.00000;
235;Canada;53.61528;-122.95472;175.00000;
236;Canada;52.52056;-107.44361;200.00000;
237;Canada;50.31250;-110.19556;200.00000;
238;Canada;55.69250;-119.23417;0.00000;
239;Canada;51.20639;-113.39806;320.00000;
240;Canada;49.28000;-81.79389;320.00000;
241;Canada;48.48028;-67.60111;240.00000;
242;Canada;46.45000;-71.91528;240.00000;
243;Canada;50.15389;-97.77833;240.00000;
245;Cyprus;34.98000;32.73000;200.00000;
246;Estonia;59.39833;24.60417;230.00000;
247;Estonia;58.93333;25.51833;230.00000;
248;Finland;60.38806;25.11389;250.00000;
249;Finland;60.20444;24.96306;250.00000;
250;Hong Kong, China;22.36278;114.01111;255.00000;
251;Hong Kong, China;22.41167;114.12361;255.00000;
252;Hong Kong, China;22.36000;114.21500;255.00000;
253;Iceland;64.15000;-21.95000;257.95556;
254;Indonesia;-3.72972;128.16306;253.11728;
255;Indonesia;-1.26000;116.89667;253.11728;
256;Indonesia;5.53889;95.49611;253.11728;
257;Indonesia;1.15806;136.08611;253.11728;
258;Indonesia;-8.53083;118.70056;253.11728;
259;Indonesia;-8.73806;115.17889;253.11728;
260;Indonesia;-2.59806;140.52972;253.11728;
