lat;lon
38.4475;76.0955
41.41;81.11
44.29;81.94
47.57;87.11
45.84;86.63
44.97;87.77
29.48;85.73
30;87.5
32.13;90.29
29.29;91.66
38.87;100.53
37.23;102.07
36.12;102.83
49.13;119.39
50.01;124.13
47.09;123.34
47.27;128.7
46.36;125.22
44.88;127.43
43.17;129.35
45.4;122.34
44.26;123.84
42.39;126.52
43.21;119.17
40;112.45
39.35;114.13
39.27;109.99
38.35;112
38.61;114
38.22;115.87
37.88;117
37.34;120.5
35.9;119.92
36.17;117.36
36.46;114.84
35.55;112.33
36.76;110.35
36.81;108.17
36.84;105.63
35.4;106.13
35.17;108.14
35.02;109.8
34.15;120.23 
31.86;121.32 
29.65;121.85
29.89;121.93
28.32;121.28
27.32;120.59
25.52;119.81
24.48;118.24
23.53;117.12
22.87;115.33
19.42;109.82
21.54;109.74
22;100
22.1;102
22;104
22;106
22.2;108
22;110
22;112
22;114
24;100
24;102
24.2;104
24;106
24;108
24;110
24;112
24.1;114
24;116
27;100
27;102
27;104
26.7;106
27;108
27;110
27;112
27.3;114
27;116
27;118
30;100
30;102
30.1;104
30;106
30;108
30;110
30.2;112
30;114
30;116
32;100
32;102
32;104
32;106
32.2;108
32;110
32;112
32;114
32.1;116
32;118
34;100
34;102
34.1;104
34;106
34;108
34;110
34;112
34;114
33.8;116
34;118
34;120
